Name,Phone,Crop_Type,Crop_Area,Season,Location,Estimated_Income,Farm_Scale,Region,Drone_Service_Potential,Area_Score,Season_Score,Region_Score,Drone_Service_Potential_scaled,Area_Score_scaled,Season_Score_scaled,Region_Score_scaled
Shahid Rehman,0313-2225913,rice,13,Kharif,Nawabshah,1560000,Medium,Sindh,9,2.09,7,8.0,0.7871157222839331,-0.7110947858051256,-0.18292076306756358,-0.5269076297131206
Iqbal Dogar,0348-6030299,wheat,45,Both,Gujranwala,6840000,Medium,Punjab,7,5.0,10,10.0,-0.518217150492075,0.7524150497534036,1.2611905243079389,0.6518566425757396
Rizwan Mahar,0345-9041379,tobacco,8,Rabi,Vehari,1600000,Small,Punjab,5,1.64,5,10.0,-1.823550023268083,-0.9374107397574755,-1.1456616213178985,0.6518566425757396
Rizwan Bajwa,0310-5799136,rice,6,Kharif,Rahim Yar Khan,720000,Small,Punjab,9,1.45,7,10.0,0.7871157222839331,-1.0329663647595786,-0.18292076306756358,0.6518566425757396
Sohail Gujjar,0345-1279908,rice,6,Kharif,Multan,720000,Small,Punjab,9,1.45,7,10.0,0.7871157222839331,-1.0329663647595786,-0.18292076306756358,0.6518566425757396
Muhammad Talpur,0340-6508637,sugarcane,29,Both,Gujranwala,8352000,Medium,Punjab,8,3.55,10,10.0,0.13444928589592908,0.023174753684720575,1.2611905243079389,0.6518566425757396
Farhan Mughal,0305-4986430,sugarcane,5,Kharif,Faisalabad,900000,Small,Punjab,8,1.36,7,10.0,0.13444928589592908,-1.0782295555500485,-0.18292076306756358,0.6518566425757396
Naveed Cheema,0331-5126944,maize,15,Both,Gujranwala,2400000,Medium,Punjab,6,2.27,10,10.0,-1.1708835868800789,-0.6205684042241856,1.2611905243079389,0.6518566425757396
Naveed Junejo,0342-8725887,wheat,24,Rabi,Vehari,2280000,Medium,Punjab,7,3.09,5,10.0,-0.518217150492075,-0.2081704436887926,-1.1456616213178985,0.6518566425757396
Nazia Nawaz,0314-7213865,sugarcane,8,Kharif,Lahore,1440000,Small,Punjab,8,1.64,7,10.0,0.13444928589592908,-0.9374107397574755,-0.18292076306756358,0.6518566425757396
Farhan Talpur,0305-1435190,sugarcane,30,Both,Mirpur Khas,8640000,Medium,Sindh,8,3.64,10,8.0,0.13444928589592908,0.06843794447519069,1.2611905243079389,-0.5269076297131206
Aisha Sheikh,0347-7703843,wheat,43,Rabi,Sahiwal,4085000,Medium,Punjab,7,4.82,5,10.0,-0.518217150492075,0.6618886681724637,-1.1456616213178985,0.6518566425757396
Waseem Qureshi,0348-0214656,rice,9,Kharif,Faisalabad,1080000,Small,Punjab,9,1.73,7,10.0,0.7871157222839331,-0.8921475489670054,-0.18292076306756358,0.6518566425757396
Nadeem Gondal,0323-4393769,wheat,16,Rabi,Faisalabad,1520000,Medium,Punjab,7,2.36,5,10.0,-0.518217150492075,-0.5753052134337157,-1.1456616213178985,0.6518566425757396
Junaid Nawaz,0337-4894769,rice,10,Kharif,Nawabshah,1200000,Medium,Sindh,9,1.82,7,8.0,0.7871157222839331,-0.8468843581765354,-0.18292076306756358,-0.5269076297131206
Fatima Yousafzai,0307-4163356,canola,19,Both,Okara,2584000,Medium,Punjab,5,2.64,10,10.0,-1.823550023268083,-0.43448639764114233,1.2611905243079389,0.6518566425757396
Junaid Choudhary,0342-2755394,wheat,48,Rabi,Mardan,4560000,Medium,Kpk,7,5.27,5,5.0,-0.518217150492075,0.8882046221248132,-1.1456616213178985,-2.295054038146411
Majid Bajwa,0313-3339521,wheat,10,Rabi,Khairpur,950000,Medium,Sindh,7,1.82,5,8.0,-0.518217150492075,-0.8468843581765354,-1.1456616213178985,-0.5269076297131206
Rashid Malik,0335-5957947,wheat,37,Rabi,Sahiwal,3515000,Medium,Punjab,7,4.27,5,10.0,-0.518217150492075,0.38528028000848025,-1.1456616213178985,0.6518566425757396
Jamil Talpur,0335-8085627,canola,19,Both,Lahore,2584000,Medium,Punjab,5,2.64,10,10.0,-1.823550023268083,-0.43448639764114233,1.2611905243079389,0.6518566425757396
Iqbal Shah,0321-5942843,wheat,44,Rabi,Multan,4180000,Medium,Punjab,7,4.91,5,10.0,-0.518217150492075,0.7071518589629336,-1.1456616213178985,0.6518566425757396
Waseem Lashari,0330-4729293,sugarcane,22,Kharif,Mirpur Khas,3960000,Medium,Sindh,8,2.91,7,8.0,0.13444928589592908,-0.2986968252697324,-0.18292076306756358,-0.5269076297131206
Zafar Gujjar,0335-0267288,sugarcane,36,Kharif,Rahim Yar Khan,6480000,Medium,Punjab,8,4.18,7,10.0,0.13444928589592908,0.3400170892180103,-0.18292076306756358,0.6518566425757396
Usman Dogar,0303-3471754,rice,20,Both,Okara,3840000,Medium,Punjab,9,2.73,10,10.0,0.7871157222839331,-0.3892232068506724,1.2611905243079389,0.6518566425757396
Hamza Khokhar,0343-9824558,rice,26,Kharif,Faisalabad,3120000,Medium,Punjab,9,3.27,7,10.0,0.7871157222839331,-0.11764406210785257,-0.18292076306756358,0.6518566425757396
Zafar Dogar,0347-5699611,wheat,19,Rabi,Okara,1805000,Medium,Punjab,7,2.64,5,10.0,-0.518217150492075,-0.43448639764114233,-1.1456616213178985,0.6518566425757396
Adeel Rehman,0333-5987622,maize,6,Kharif,Khairpur,600000,Small,Sindh,6,1.45,7,8.0,-1.1708835868800789,-1.0329663647595786,-0.18292076306756358,-0.5269076297131206
Sajid Gill,0310-6111780,wheat,30,Both,Faisalabad,4560000,Medium,Punjab,7,3.64,10,10.0,-0.518217150492075,0.06843794447519069,1.2611905243079389,0.6518566425757396
Sajid Tarar,0320-3347228,maize,2,Kharif,Pakpattan,200000,Small,Punjab,6,1.09,7,10.0,-1.1708835868800789,-1.2140191279214587,-0.18292076306756358,0.6518566425757396
Farhan Abbasi,0341-4872829,cotton,90,Both,Mirpur Khas,21600000,Large,Sindh,10,9.09,10,8.0,1.439782158671937,2.8093756090092055,1.2611905243079389,-0.5269076297131206
Rashid Wattoo,0323-7831745,rice,7,Kharif,Lahore,840000,Small,Punjab,9,1.55,7,10.0,0.7871157222839331,-0.9826739305479454,-0.18292076306756358,0.6518566425757396
Kamran Gondal,0318-7807740,sugarcane,23,Kharif,Lahore,4140000,Medium,Punjab,8,3.0,7,10.0,0.13444928589592908,-0.2534336344792625,-0.18292076306756358,0.6518566425757396
Nadeem Talpur,0330-3266341,rice,10,Kharif,Gujranwala,1200000,Medium,Punjab,9,1.82,7,10.0,0.7871157222839331,-0.8468843581765354,-0.18292076306756358,0.6518566425757396
Babar Rehman,0331-3122417,cotton,44,Both,Nawabshah,10560000,Medium,Sindh,10,4.91,10,8.0,1.439782158671937,0.7071518589629336,1.2611905243079389,-0.5269076297131206
Tariq Ahmed,0311-1442703,wheat,5,Rabi,Pakpattan,475000,Small,Punjab,7,1.36,5,10.0,-0.518217150492075,-1.0782295555500485,-1.1456616213178985,0.6518566425757396
Kashif Lashari,0334-0512046,wheat,35,Rabi,Okara,3325000,Medium,Punjab,7,4.09,5,10.0,-0.518217150492075,0.2947538984275404,-1.1456616213178985,0.6518566425757396
Bilal Qureshi,0325-7303718,cotton,36,Kharif,Okara,5400000,Medium,Punjab,10,4.18,7,10.0,1.439782158671937,0.3400170892180103,-0.18292076306756358,0.6518566425757396
Ali Nawaz,0316-7435031,wheat,32,Rabi,Multan,3040000,Medium,Punjab,7,3.82,5,10.0,-0.518217150492075,0.1589643260561305,-1.1456616213178985,0.6518566425757396
Adeel Qureshi,0300-0979251,wheat,36,Both,Gujranwala,5472000,Medium,Punjab,7,4.18,10,10.0,-0.518217150492075,0.3400170892180103,1.2611905243079389,0.6518566425757396
Ayesha Bhatti,0303-5281273,wheat,40,Rabi,Hyderabad,3800000,Medium,Sindh,7,4.55,5,8.0,-0.518217150492075,0.5260990958010536,-1.1456616213178985,-0.5269076297131206
Fawad Ahmed,0325-5240778,wheat,49,Both,Gujranwala,7448000,Medium,Punjab,7,5.36,10,10.0,-0.518217150492075,0.9334678129152836,1.2611905243079389,0.6518566425757396
Noman Rehman,0345-8218274,sugarcane,39,Kharif,Lahore,7020000,Medium,Punjab,8,4.45,7,10.0,0.13444928589592908,0.4758066615894205,-0.18292076306756358,0.6518566425757396
Rizwan Ahmed,0346-5935186,wheat,48,Both,Rahim Yar Khan,7296000,Medium,Punjab,7,5.27,10,10.0,-0.518217150492075,0.8882046221248132,1.2611905243079389,0.6518566425757396
Sohail Cheema,0307-1810220,wheat,36,Rabi,Lahore,3420000,Medium,Punjab,7,4.18,5,10.0,-0.518217150492075,0.3400170892180103,-1.1456616213178985,0.6518566425757396
Kashif Bajwa,0303-5391037,sunflower,15,Rabi,Lahore,1200000,Medium,Punjab,5,2.27,5,10.0,-1.823550023268083,-0.6205684042241856,-1.1456616213178985,0.6518566425757396
Sohail Lashari,0303-9480141,canola,19,Rabi,Sahiwal,1615000,Medium,Punjab,5,2.64,5,10.0,-1.823550023268083,-0.43448639764114233,-1.1456616213178985,0.6518566425757396
Jamil Qureshi,0343-2886195,cotton,99,Both,Sukkur,23760000,Large,Sindh,10,9.91,10,8.0,1.439782158671937,3.221773569544599,1.2611905243079389,-0.5269076297131206
Adeel Warraich,0349-2897558,tobacco,6,Rabi,Nawabshah,1200000,Small,Sindh,5,1.45,5,8.0,-1.823550023268083,-1.0329663647595786,-1.1456616213178985,-0.5269076297131206
Arsalan Qureshi,0343-8368457,rice,15,Kharif,Lahore,1800000,Medium,Punjab,9,2.27,7,10.0,0.7871157222839331,-0.6205684042241856,-0.18292076306756358,0.6518566425757396
Jamil Butt,0320-0433504,sunflower,10,Both,Gujranwala,1280000,Medium,Punjab,5,1.82,10,10.0,-1.823550023268083,-0.8468843581765354,1.2611905243079389,0.6518566425757396
Hamza Gujjar,0308-4593344,wheat,30,Rabi,Sahiwal,2850000,Medium,Punjab,7,3.64,5,10.0,-0.518217150492075,0.06843794447519069,-1.1456616213178985,0.6518566425757396
Farhan Sheikh,0336-9194096,wheat,8,Rabi,Swabi,760000,Small,Kpk,7,1.64,5,5.0,-0.518217150492075,-0.9374107397574755,-1.1456616213178985,-2.295054038146411
Sohail Nawaz,0314-9060480,wheat,41,Rabi,Rahim Yar Khan,3895000,Medium,Punjab,7,4.64,5,10.0,-0.518217150492075,0.5713622865915234,-1.1456616213178985,0.6518566425757396
Adeel Laghari,0345-9813646,wheat,26,Rabi,Gujranwala,2470000,Medium,Punjab,7,3.27,5,10.0,-0.518217150492075,-0.11764406210785257,-1.1456616213178985,0.6518566425757396
Yasir Jatoi,0330-8622783,rice,23,Kharif,Rahim Yar Khan,2760000,Medium,Punjab,9,3.0,7,10.0,0.7871157222839331,-0.2534336344792625,-0.18292076306756358,0.6518566425757396
Majid Qureshi,0304-4659116,rice,14,Kharif,Pakpattan,1680000,Medium,Punjab,9,2.18,7,10.0,0.7871157222839331,-0.6658315950146555,-0.18292076306756358,0.6518566425757396
Haroon Dogar,0323-9792703,wheat,28,Both,Faisalabad,4256000,Medium,Punjab,7,3.45,10,10.0,-0.518217150492075,-0.02711768052691255,1.2611905243079389,0.6518566425757396
Arshad Gujjar,0318-0514770,wheat,39,Rabi,Rahim Yar Khan,3705000,Medium,Punjab,7,4.45,5,10.0,-0.518217150492075,0.4758066615894205,-1.1456616213178985,0.6518566425757396
Farhan Gujjar,0349-0698042,wheat,17,Both,Mirpur Khas,2584000,Medium,Sindh,7,2.45,10,8.0,-0.518217150492075,-0.5300420226432455,1.2611905243079389,-0.5269076297131206
Muhammad Choudhary,0325-4510463,canola,19,Rabi,Peshawar,1615000,Medium,Kpk,5,2.64,5,5.0,-1.823550023268083,-0.43448639764114233,-1.1456616213178985,-2.295054038146411
Saeed Jatoi,0311-3878003,sunflower,6,Rabi,Vehari,480000,Small,Punjab,5,1.45,5,10.0,-1.823550023268083,-1.0329663647595786,-1.1456616213178985,0.6518566425757396
Hamza Gondal,0347-4384046,maize,2,Kharif,Swabi,200000,Small,Kpk,6,1.09,7,5.0,-1.1708835868800789,-1.2140191279214587,-0.18292076306756358,-2.295054038146411
Adeel Butt,0305-6893639,wheat,24,Rabi,Swabi,2280000,Medium,Kpk,7,3.09,5,5.0,-0.518217150492075,-0.2081704436887926,-1.1456616213178985,-2.295054038146411
Kamran Khokhar,0308-4826292,wheat,40,Both,Faisalabad,6080000,Medium,Punjab,7,4.55,10,10.0,-0.518217150492075,0.5260990958010536,1.2611905243079389,0.6518566425757396
Zafar Ahmed,0321-6647423,wheat,16,Rabi,Gujranwala,1520000,Medium,Punjab,7,2.36,5,10.0,-0.518217150492075,-0.5753052134337157,-1.1456616213178985,0.6518566425757396
Arshad Mughal,0345-3305172,rice,22,Both,Pakpattan,4224000,Medium,Punjab,9,2.91,10,10.0,0.7871157222839331,-0.2986968252697324,1.2611905243079389,0.6518566425757396
Farhan Butt,0310-3306046,wheat,47,Both,Mardan,7144000,Medium,Kpk,7,5.18,10,5.0,-0.518217150492075,0.8429414313343433,1.2611905243079389,-2.295054038146411
Iqra Khattak,0321-7366096,sugarcane,30,Kharif,Khairpur,5400000,Medium,Sindh,8,3.64,7,8.0,0.13444928589592908,0.06843794447519069,-0.18292076306756358,-0.5269076297131206
Ali Shah,0333-7038860,cotton,76,Both,Sukkur,18240000,Large,Sindh,10,7.82,10,8.0,1.439782158671937,2.170661694521463,1.2611905243079389,-0.5269076297131206
Haroon Lodhi,0334-2649082,rice,23,Both,Rahim Yar Khan,4416000,Medium,Punjab,9,3.0,10,10.0,0.7871157222839331,-0.2534336344792625,1.2611905243079389,0.6518566425757396
Rashid Butt,0330-6570279,maize,8,Kharif,Peshawar,800000,Small,Kpk,6,1.64,7,5.0,-1.1708835868800789,-0.9374107397574755,-0.18292076306756358,-2.295054038146411
Asif Nawaz,0305-1751868,cotton,30,Both,Vehari,7200000,Medium,Punjab,10,3.64,10,10.0,1.439782158671937,0.06843794447519069,1.2611905243079389,0.6518566425757396
Junaid Gujjar,0310-2206447,wheat,16,Rabi,Multan,1520000,Medium,Punjab,7,2.36,5,10.0,-0.518217150492075,-0.5753052134337157,-1.1456616213178985,0.6518566425757396
Yasir Khan,0334-7780973,wheat,47,Rabi,Vehari,4465000,Medium,Punjab,7,5.18,5,10.0,-0.518217150492075,0.8429414313343433,-1.1456616213178985,0.6518566425757396
Muhammad Qureshi,0342-4983022,wheat,27,Rabi,Lahore,2565000,Medium,Punjab,7,3.36,5,10.0,-0.518217150492075,-0.07238087131738268,-1.1456616213178985,0.6518566425757396
Haroon Warraich,0305-0162249,cotton,99,Both,Rahim Yar Khan,23760000,Large,Punjab,10,9.91,10,10.0,1.439782158671937,3.221773569544599,1.2611905243079389,0.6518566425757396
Iqbal Lashari,0302-1455616,maize,4,Both,Multan,640000,Small,Punjab,6,1.27,10,10.0,-1.1708835868800789,-1.1234927463405187,1.2611905243079389,0.6518566425757396
Nida Junejo,0340-3390198,tobacco,8,Rabi,Mirpur Khas,1600000,Small,Sindh,5,1.64,5,8.0,-1.823550023268083,-0.9374107397574755,-1.1456616213178985,-0.5269076297131206
Bushra Talpur,0345-5489952,cotton,73,Both,Bahawalpur,17520000,Large,Punjab,10,7.55,10,10.0,1.439782158671937,2.0348721221500528,1.2611905243079389,0.6518566425757396
Arshad Mughal,0318-3010713,sugarcane,31,Both,Pakpattan,8928000,Medium,Punjab,8,3.73,10,10.0,0.13444928589592908,0.1137011352656606,1.2611905243079389,0.6518566425757396
Naveed Khan,0347-3441448,rice,27,Both,Pakpattan,5184000,Medium,Punjab,9,3.36,10,10.0,0.7871157222839331,-0.07238087131738268,1.2611905243079389,0.6518566425757396
Arshad Ahmed,0311-3557702,rice,23,Kharif,Rahim Yar Khan,2760000,Medium,Punjab,9,3.0,7,10.0,0.7871157222839331,-0.2534336344792625,-0.18292076306756358,0.6518566425757396
Sohail Bhatti,0340-4958803,cotton,52,Both,Hyderabad,12480000,Large,Sindh,10,5.64,10,8.0,1.439782158671937,1.0742866287078565,1.2611905243079389,-0.5269076297131206
Ahmad Warraich,0325-8299629,wheat,24,Rabi,Hyderabad,2280000,Medium,Sindh,7,3.09,5,8.0,-0.518217150492075,-0.2081704436887926,-1.1456616213178985,-0.5269076297131206
Sajid Khattak,0315-5743842,wheat,7,Rabi,Sukkur,665000,Small,Sindh,7,1.55,5,8.0,-0.518217150492075,-0.9826739305479454,-1.1456616213178985,-0.5269076297131206
Farhan Gujjar,0312-5784521,maize,18,Both,Larkana,2880000,Medium,Sindh,6,2.55,10,8.0,-1.1708835868800789,-0.4797495884316124,1.2611905243079389,-0.5269076297131206
Irfan Nawaz,0300-4091570,wheat,47,Rabi,Sukkur,4465000,Medium,Sindh,7,5.18,5,8.0,-0.518217150492075,0.8429414313343433,-1.1456616213178985,-0.5269076297131206
Naveed Cheema,0312-3448571,wheat,15,Rabi,Lahore,1425000,Medium,Punjab,7,2.27,5,10.0,-0.518217150492075,-0.6205684042241856,-1.1456616213178985,0.6518566425757396
Usman Gill,0341-5854249,wheat,9,Rabi,Pakpattan,855000,Small,Punjab,7,1.73,5,10.0,-0.518217150492075,-0.8921475489670054,-1.1456616213178985,0.6518566425757396
Ahmad Yousafzai,0303-1601662,sugarcane,33,Both,Hyderabad,9504000,Medium,Sindh,8,3.91,10,8.0,0.13444928589592908,0.20422751684660062,1.2611905243079389,-0.5269076297131206
Rashid Jatoi,0334-9217174,cotton,100,Both,Nawabshah,24000000,Large,Sindh,10,10.0,10,8.0,1.439782158671937,3.2670367603350687,1.2611905243079389,-0.5269076297131206
Arshad Bajwa,0324-6255770,wheat,12,Rabi,Bahawalpur,1140000,Medium,Punjab,7,2.0,5,10.0,-0.518217150492075,-0.7563579765955956,-1.1456616213178985,0.6518566425757396
Hamza Butt,0337-1615814,rice,15,Kharif,Sahiwal,1800000,Medium,Punjab,9,2.27,7,10.0,0.7871157222839331,-0.6205684042241856,-0.18292076306756358,0.6518566425757396
Farhan Tarar,0304-5396695,rice,10,Kharif,Faisalabad,1200000,Medium,Punjab,9,1.82,7,10.0,0.7871157222839331,-0.8468843581765354,-0.18292076306756358,0.6518566425757396
Kashif Nawaz,0344-9758172,wheat,30,Rabi,Faisalabad,2850000,Medium,Punjab,7,3.64,5,10.0,-0.518217150492075,0.06843794447519069,-1.1456616213178985,0.6518566425757396
Irfan Cheema,0336-0132902,cotton,67,Kharif,Vehari,10050000,Large,Punjab,10,7.0,7,10.0,1.439782158671937,1.7582637339860696,-0.18292076306756358,0.6518566425757396
Naveed Cheema,0320-9465190,cotton,75,Kharif,Multan,11250000,Large,Punjab,10,7.73,7,10.0,1.439782158671937,2.125398503730993,-0.18292076306756358,0.6518566425757396
Nadeem Bhatti,0300-8514036,sugarcane,30,Kharif,Khairpur,5400000,Medium,Sindh,8,3.64,7,8.0,0.13444928589592908,0.06843794447519069,-0.18292076306756358,-0.5269076297131206
Rashid Gill,0349-2723865,maize,6,Both,Multan,960000,Small,Punjab,6,1.45,10,10.0,-1.1708835868800789,-1.0329663647595786,1.2611905243079389,0.6518566425757396
Ahmad Gujjar,0336-6212679,sunflower,11,Rabi,Rahim Yar Khan,880000,Medium,Punjab,5,1.91,5,10.0,-1.823550023268083,-0.8016211673860655,-1.1456616213178985,0.6518566425757396
Irfan Gondal,0314-2690973,sugarcane,22,Kharif,Rahim Yar Khan,3960000,Medium,Punjab,8,2.91,7,10.0,0.13444928589592908,-0.2986968252697324,-0.18292076306756358,0.6518566425757396
Ali Yousafzai,0324-1971284,rice,5,Both,Gujranwala,960000,Small,Punjab,9,1.36,10,10.0,0.7871157222839331,-1.0782295555500485,1.2611905243079389,0.6518566425757396
Imran Wattoo,0346-0580778,sunflower,11,Rabi,Nawabshah,880000,Medium,Sindh,5,1.91,5,8.0,-1.823550023268083,-0.8016211673860655,-1.1456616213178985,-0.5269076297131206
Bushra Lodhi,0310-0949407,cotton,83,Kharif,Okara,12450000,Large,Punjab,10,8.45,7,10.0,1.439782158671937,2.487504030054752,-0.18292076306756358,0.6518566425757396
Babar Khattak,0305-2814429,wheat,21,Rabi,Faisalabad,1995000,Medium,Punjab,7,2.82,5,10.0,-0.518217150492075,-0.34396001606020254,-1.1456616213178985,0.6518566425757396
Humaira Gujjar,0349-7524372,sugarcane,7,Kharif,Faisalabad,1260000,Small,Punjab,8,1.55,7,10.0,0.13444928589592908,-0.9826739305479454,-0.18292076306756358,0.6518566425757396
Zafar Khattak,0331-6372395,wheat,21,Both,Sukkur,3192000,Medium,Sindh,7,2.82,10,8.0,-0.518217150492075,-0.34396001606020254,1.2611905243079389,-0.5269076297131206
Farhan Wattoo,0335-8366742,rice,16,Kharif,Bahawalpur,1920000,Medium,Punjab,9,2.36,7,10.0,0.7871157222839331,-0.5753052134337157,-0.18292076306756358,0.6518566425757396
Jamil Malik,0306-8569454,wheat,11,Rabi,Gujranwala,1045000,Medium,Punjab,7,1.91,5,10.0,-0.518217150492075,-0.8016211673860655,-1.1456616213178985,0.6518566425757396
Majid Khokhar,0340-5258001,wheat,11,Rabi,Bahawalpur,1045000,Medium,Punjab,7,1.91,5,10.0,-0.518217150492075,-0.8016211673860655,-1.1456616213178985,0.6518566425757396
Yasir Khokhar,0302-0910939,cotton,100,Kharif,Peshawar,15000000,Large,Kpk,10,10.0,7,5.0,1.439782158671937,3.2670367603350687,-0.18292076306756358,-2.295054038146411
Akram Sheikh,0307-2447174,sugarcane,25,Both,Faisalabad,7200000,Medium,Punjab,8,3.18,10,10.0,0.13444928589592908,-0.16290725289832247,1.2611905243079389,0.6518566425757396
Irfan Warraich,0303-4427173,cotton,32,Both,Sukkur,7680000,Medium,Sindh,10,3.82,10,8.0,1.439782158671937,0.1589643260561305,1.2611905243079389,-0.5269076297131206
Naveed Shah,0333-4101194,sugarcane,6,Kharif,Mardan,1080000,Small,Kpk,8,1.45,7,5.0,0.13444928589592908,-1.0329663647595786,-0.18292076306756358,-2.295054038146411
Ali Tarar,0317-2569087,rice,15,Kharif,Sukkur,1800000,Medium,Sindh,9,2.27,7,8.0,0.7871157222839331,-0.6205684042241856,-0.18292076306756358,-0.5269076297131206
Farhan Nawaz,0343-8554601,rice,30,Kharif,Peshawar,3600000,Medium,Kpk,9,3.64,7,5.0,0.7871157222839331,0.06843794447519069,-0.18292076306756358,-2.295054038146411
Babar Khokhar,0311-8063461,cotton,55,Kharif,Bahawalpur,8250000,Large,Punjab,10,5.91,7,10.0,1.439782158671937,1.2100762010792667,-0.18292076306756358,0.6518566425757396
Fawad Ahmed,0344-3761847,rice,29,Both,Sukkur,5568000,Medium,Sindh,9,3.55,10,8.0,0.7871157222839331,0.023174753684720575,1.2611905243079389,-0.5269076297131206
Ali Mahar,0307-3878293,sunflower,2,Rabi,Nawabshah,160000,Small,Sindh,5,1.09,5,8.0,-1.823550023268083,-1.2140191279214587,-1.1456616213178985,-0.5269076297131206
Arshad Malik,0315-2020417,cotton,85,Both,Faisalabad,20400000,Large,Punjab,10,8.64,10,10.0,1.439782158671937,2.583059655056856,1.2611905243079389,0.6518566425757396
Arshad Mughal,0304-3656519,rice,13,Kharif,Larkana,1560000,Medium,Sindh,9,2.09,7,8.0,0.7871157222839331,-0.7110947858051256,-0.18292076306756358,-0.5269076297131206
Junaid Choudhary,0307-4262582,rice,21,Kharif,Faisalabad,2520000,Medium,Punjab,9,2.82,7,10.0,0.7871157222839331,-0.34396001606020254,-0.18292076306756358,0.6518566425757396
Irfan Dogar,0301-7100219,maize,15,Kharif,Nawabshah,1500000,Medium,Sindh,6,2.27,7,8.0,-1.1708835868800789,-0.6205684042241856,-0.18292076306756358,-0.5269076297131206
Shehzad Laghari,0331-3290927,cotton,21,Both,Hyderabad,5040000,Medium,Sindh,10,2.82,10,8.0,1.439782158671937,-0.34396001606020254,1.2611905243079389,-0.5269076297131206
Majid Khokhar,0307-8195883,rice,23,Both,Hyderabad,4416000,Medium,Sindh,9,3.0,10,8.0,0.7871157222839331,-0.2534336344792625,1.2611905243079389,-0.5269076297131206
Zafar Yousafzai,0336-2200543,rice,13,Both,Nawabshah,2496000,Medium,Sindh,9,2.09,10,8.0,0.7871157222839331,-0.7110947858051256,1.2611905243079389,-0.5269076297131206
Rashid Sheikh,0310-0781137,cotton,51,Both,Pakpattan,12240000,Large,Punjab,10,5.55,10,10.0,1.439782158671937,1.0290234379173866,1.2611905243079389,0.6518566425757396
Faisal Shah,0315-6363179,rice,16,Kharif,Gujranwala,1920000,Medium,Punjab,9,2.36,7,10.0,0.7871157222839331,-0.5753052134337157,-0.18292076306756358,0.6518566425757396
Kamran Abbasi,0312-5435209,wheat,13,Rabi,Bahawalpur,1235000,Medium,Punjab,7,2.09,5,10.0,-0.518217150492075,-0.7110947858051256,-1.1456616213178985,0.6518566425757396
Junaid Mughal,0318-9292983,wheat,38,Rabi,Sahiwal,3610000,Medium,Punjab,7,4.36,5,10.0,-0.518217150492075,0.43054347079895056,-1.1456616213178985,0.6518566425757396
Shehzad Khan,0332-3356939,canola,3,Both,Lahore,408000,Small,Punjab,5,1.18,10,10.0,-1.823550023268083,-1.1687559371309888,1.2611905243079389,0.6518566425757396
Shahid Malik,0332-8671773,wheat,5,Rabi,Nawabshah,475000,Small,Sindh,7,1.36,5,8.0,-0.518217150492075,-1.0782295555500485,-1.1456616213178985,-0.5269076297131206
Babar Qureshi,0348-1074279,sugarcane,6,Kharif,Charsadda,1080000,Small,Kpk,8,1.45,7,5.0,0.13444928589592908,-1.0329663647595786,-0.18292076306756358,-2.295054038146411
Shazia Sheikh,0324-7016580,wheat,22,Rabi,Mirpur Khas,2090000,Medium,Sindh,7,2.91,5,8.0,-0.518217150492075,-0.2986968252697324,-1.1456616213178985,-0.5269076297131206
Sajid Warraich,0303-8501657,cotton,56,Kharif,Rahim Yar Khan,8400000,Large,Punjab,10,6.0,7,10.0,1.439782158671937,1.2553393918697366,-0.18292076306756358,0.6518566425757396
Naveed Butt,0322-3817933,wheat,22,Both,Vehari,3344000,Medium,Punjab,7,2.91,10,10.0,-0.518217150492075,-0.2986968252697324,1.2611905243079389,0.6518566425757396
Hamza Laghari,0336-8817884,rice,14,Kharif,Khairpur,1680000,Medium,Sindh,9,2.18,7,8.0,0.7871157222839331,-0.6658315950146555,-0.18292076306756358,-0.5269076297131206
Zainab Khokhar,0334-1162411,wheat,12,Both,Nawabshah,1824000,Medium,Sindh,7,2.0,10,8.0,-0.518217150492075,-0.7563579765955956,1.2611905243079389,-0.5269076297131206
Ahmad Lodhi,0331-8275670,wheat,9,Rabi,Sahiwal,855000,Small,Punjab,7,1.73,5,10.0,-0.518217150492075,-0.8921475489670054,-1.1456616213178985,0.6518566425757396
Junaid Junejo,0344-5579887,rice,21,Both,Okara,4032000,Medium,Punjab,9,2.82,10,10.0,0.7871157222839331,-0.34396001606020254,1.2611905243079389,0.6518566425757396
Farhan Lashari,0318-0254729,sunflower,13,Rabi,Multan,1040000,Medium,Punjab,5,2.09,5,10.0,-1.823550023268083,-0.7110947858051256,-1.1456616213178985,0.6518566425757396
Zafar Dogar,0315-1059274,rice,9,Kharif,Lahore,1080000,Small,Punjab,9,1.73,7,10.0,0.7871157222839331,-0.8921475489670054,-0.18292076306756358,0.6518566425757396
Sadia Lashari,0333-8284106,sunflower,14,Rabi,Bahawalpur,1120000,Medium,Punjab,5,2.18,5,10.0,-1.823550023268083,-0.6658315950146555,-1.1456616213178985,0.6518566425757396
Rashid Warraich,0348-4749297,wheat,12,Both,Sukkur,1824000,Medium,Sindh,7,2.0,10,8.0,-0.518217150492075,-0.7563579765955956,1.2611905243079389,-0.5269076297131206
Haroon Ahmed,0330-9375150,cotton,34,Kharif,Sahiwal,5100000,Medium,Punjab,10,4.0,7,10.0,1.439782158671937,0.2494907076370705,-0.18292076306756358,0.6518566425757396
